id,name,entity_type,category,version,source,source_type,digest,signature,attestation_path,attestation_digest,attestation_signature_path,platform,arch,deps,conflicts,license,artifact_path,output_type,output_path,status,selected,priority,owner,created_at,source_spec_id,content_hash
PKG-FMWK-100,Agent Development Standard,package,framework,1.0.0,packages_store/FMWK-100_agent_development_standard.tar.gz,tar,8f2589b3fec3ab42ac918b54b90d1c4c08b28ddbbbc79b13b89bf1b1598fc6fc,,,,,any,any,,,MIT,/frameworks/FMWK-100_agent_development_standard.md,extension,,active,yes,P1,system,2026-01-30,SPEC-026,
PKG-FMWK-101,Altitude Depth Standard,package,framework,1.0.0,packages_store/FMWK-101_altitude_depth_standard.tar.gz,tar,2e99292be87217103923e41e35a678f3eacdc345f58b2460eb547c59f2626fab,,,,,any,any,PKG-FMWK-100,,MIT,/frameworks/FMWK-101_altitude_depth_standard.md,extension,,active,yes,P1,system,2026-01-30,SPEC-026,
PKG-FMWK-102,Altitude Convention Standard,package,framework,1.0.0,packages_store/FMWK-102_altitude_convention.tar.gz,tar,ab81ee05430b7b2b0f9a3114feefa5fbb89fb95680f15e0e095d06e4285580f2,,,,,any,any,PKG-FMWK-101,,MIT,/frameworks/FMWK-102_altitude_convention.md,extension,,active,yes,P1,system,2026-01-30,SPEC-026,
PKG-FMWK-107,Package Management Standard,package,framework,1.0.0,packages_store/FMWK-107_package_management_standard.tar.gz,tar,eed899e4cdb7bc13770197337c2e93db984d94677b6d894a61d4e2c2a415a977,,,,,any,any,PKG-FMWK-100,,MIT,/frameworks/FMWK-107_package_management_standard.md,extension,,active,yes,P0,system,2026-01-30,SPEC-026,
PKG-FMWK-200,Ledger Protocol Standard,package,framework,1.0.0,packages_store/FMWK-200_ledger_protocol.tar.gz,tar,6381993077449c9c4a330391433e97e3139524babb41284ec5d1273760658c91,,,,,any,any,PKG-FMWK-100,,MIT,/frameworks/FMWK-200_ledger_protocol.md,extension,,active,yes,P1,system,2026-01-30,SPEC-026,
