prompt_id,title,status,hash,created,updated
PRM-ADMIN-EXPLAIN-001,Explain Artifact,active,sha256:9d40c7f9124a0fa147008e65736000d05b209e15a9fbe538777b49b9e4e2fc97,2026-02-03,2026-02-04
PRM-ADMIN-GENERAL-001,General Query Response,active,sha256:5786163a5177f828a3519d2c44c3c64d0b50d2f9eb49d9d29a8beedc117872f8,2026-02-04,2026-02-04
PRM-ADMIN-VALIDATE-001,Validate Document,active,sha256:77703b63385c7995e302d73aee0487fa0f6d0d836784ad32f1f462ad9e80aa38,2026-02-03,2026-02-04
PRM-CLASSIFY-001,Query Classification,active,sha256:fe4b3319db85039a86389d089732f1752c7874dd8272cdb6273bff22bccb172b,2026-02-03,2026-02-04
